Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вакарчук,Онисим,Панасович,Чоловік,31.10.1963,Лікар,село Бобринець,"шосе Естафетна, буд. 61, Самбір, 94678",+380 73 081 10 40,semen15@example.net
Авдєєнко,Остап,Гаврилович,Чоловік,07.12.1954,Бізнесмен,хутір Новогродівка,"площа Левкоєва, буд. 073 кв. 39, Іллінці, 90103",673-97-35,xkanivets@example.com
Авраменко,Артем,Адамович,Чоловік,19.06.1938,Візажист,хутір Тиврів,"площа Коцюбинського, буд. 6 кв. 61, Калуш, 51955",458 95 76,iosypiakovenko@example.org
Баклан,Герман,Богодарович,Чоловік,05.10.2001,Мистецтвознавець,хутір Корюківка,"площа Елеваторна, буд. 924 кв. 0, Родинське, 16503",033 457 51 62,bnalyvaiko@example.com
Лисенко,Прохір,Орхипович,Чоловік,30.10.1979,Археолог,селище Ворожба,"площа 13-та Суворовська, буд. 07, Костопіль, 49425",044 302 67 36,kostiantynkomar@example.com
Євдокименко,Богодар,Охрімович,Чоловік,18.09.1944,Сценарист,місто Вуглегірськ,"проспект Бузковий, буд. 213 кв. 88, Вознесенівка, 54395",+380 86 949-72-31,iosypkolisnychenko@example.net
Медведенко,Прохір,Августинович,Чоловік,15.06.1960,Психолог,місто Конотоп,"шосе 3-тя Суворовська, буд. 587, Ялта, 37477",+380 92 652-76-70,panteleimonchaban@example.com
Цюцюра,Зиновій,Романович,Чоловік,16.09.1973,Геолог,селище Добропілля,"набережна Скляний 3-й, буд. 55, Суходільськ, 43990",+380 83 093-07-16,kovalenkodaryna@example.org
Батіг,Варвара,Григоріївна,Жінка,30.03.1988,Кухар,хутір Самбір,"парк Китобійна, буд. 55 кв. 1, Тернівка , 26563",+380 (75) 607-73-64,makar47@example.net
Бабʼяк,Камілла,Алевтинівна,Жінка,22.01.2005,Кінорежисер,селище Тисмениця,"набережна Бахчева, буд. 28 кв. 42, Конотоп, 48820",939-26-81,iaroslava72@example.net
Гресь,Оксенія,Степанівна,Жінка,17.12.1982,Географ,хутір Снятин,"узвіз Восьмого березня 1-й, буд. 3 кв. 44, Перечин, 64116",308 15 86,hrechanykvenedykt@example.net
Петрик,Маруся,Олесьівна,Жінка,23.03.1991,Штукатур,село Ківерці,"площа Індійська, буд. 119, Таврійськ, 08551",+380 74 685-31-84,hermansemenchenko@example.org
Шелест,Еріка,Зорянівна,Жінка,12.07.1950,Юрист,селище Волочиськ,"шосе Топольського, буд. 04, Саки , 83338",+380 44 669-92-46,kamillaaverchenko@example.org
Токар,Валентин,Олегович,Чоловік,27.02.1952,Футболіст,село Шепетівка,"парк Красива, буд. 6 кв. 90, Дрогобич, 16458",+380 08 862-47-61,adakhudiak@example.org
Чередник,Емілія,Леопольдівна,Жінка,14.01.1996,Парфюмер,хутір Тернівка ,"сквер Іподромний, буд. 909 кв. 40, Ворожба, 70824",818-73-28,boryslavderevianko@example.org
Гупало,Онисим,Болеславович,Чоловік,11.02.1944,Кур'єр,місто Покров,"сквер Промислова, буд. 486, Горохів, 78237",030 163 36 57,gzatovkaniuk@example.org
Євдокименко,Валерій,Бориславович,Чоловік,29.01.1963,М'ясник,селище Рубіжне,"шосе Олександра Невського 4-й, буд. 89, Любомль, 04859",222-75-30,bandurkamariana@example.net
Зубко,Любов,Гаврилоівна,Жінка,28.08.1959,Мікробіолог,село Південне ,"узвіз Нафтовиків 1-й, буд. 115 кв. 2, Вільнянськ, 98797",833 73 04,tovstukhaliudmyla@example.net
Гайда,Мирослав,Богодарович,Чоловік,04.04.2005,Громадський діяч,місто Малин,"узвіз Флотська, буд. 749, Чуднів, 85073",+380 36 856 61 92,rchupryna@example.org
Шеремета,Ада,Геннадіївна,Жінка,25.06.1966,Стоматолог,село Шостка,"парк Лузанівка, буд. 2, Малин, 66850",962-77-44,ksahal@example.org
Баштан,Соломія,Симонівна,Жінка,19.12.1966,Парфюмер,хутір Почаїв,"шосе Восьмого березня 5-й, буд. 10 кв. 06, Яготин, 58397",+380 37 212-62-42,sirkooryna@example.org
Ейбоженко,Давид,Устимович,Чоловік,20.10.2004,Конструктор,місто Керч,"узвіз Лузанівка, буд. 361, Шепетівка, 12280",+380 (07) 850-86-81,phavrylets@example.org
Талан,Тереза,Германівна,Жінка,13.11.1948,Епідеміолог,село Кобеляки,"набережна Єлісаветинська, буд. 3, Чортків, 60841",213 02 43,teslenkodanylo@example.org
Єрошенко,Вʼячеслав,Павлович,Чоловік,21.09.1958,Журналіст,селище Суходільськ,"проспект Нафтовиків, буд. 535, Біляївка, 40807",+380 (67) 261-84-36,symondashkevych@example.org
Лагода,Леонтій,Вʼячеславович,Чоловік,12.10.1945,Провізор,хутір Скадовськ,"узвіз Пісочний, буд. 43 кв. 45, Устилуг, 53630",+380 56 776-55-26,kyrylovakhnii@example.org
Яремко,Сніжана,Яремївна,Жінка,22.12.1963,Ді-джей,селище Городенка,"узвіз Цементний, буд. 143 кв. 69, Трускавець, 37555",+380 (23) 990-13-60,aandriievych@example.com
Масоха,Розалія,Олексївна,Жінка,24.01.2008,Промисловець,хутір Покровськ,"парк Скидановський узвіз, буд. 30 кв. 3, Верхньодніпровськ, 27575",+380 14 934-90-69,ierchenkomarusia@example.org
Сімашкевич,Семен,Гордійович,Чоловік,13.04.1975,Бібліограф,селище Бахчисарай,"вулиця Садова 2-га, буд. 382, Полтава, 75438",+380 87 918 37 61,umanetsmyron@example.net
Гаєвський,Пріска,Олексївна,Жінка,29.11.2001,Музикант,селище Васильків,"набережна Танфільєва, буд. 625, Олешки, 80816",+380 45 484-35-69,ksahal@example.org
Удовиченко,Святослава,Онисимівна,Жінка,23.04.1965,Ветеринар,село Славутич,"сквер Бехтерєва, буд. 18 кв. 35, Славутич, 21452",417-90-99,demianirvanets@example.com
Лавренко,Роксолана,Костянтинівна,Жінка,21.07.1981,Етнограф,село Чуднів,"площа Виноградна, буд. 575 кв. 02, Сколе, 21137",+380 (71) 959-01-60,edeisun@example.org
Нестеренко,Ольга,Іллївна,Жінка,30.06.1992,Фрілансер,селище Стебник,"шосе Ширшова, буд. 1, Зіньків, 47767",+380 72 065 15 22,lahodavira@example.org
Оберемко,Володимир,Пантелеймонович,Чоловік,21.10.1964,Правник,село Олександрія,"провулок Пестеля, буд. 20, Ірпінь, 65904",+380 (54) 504-38-67,udashenko@example.org
Перебийніс,Єфрем,Зиновійович,Чоловік,20.11.1985,Хореограф,хутір Гайворон,"провулок Глухий міст, буд. 8 кв. 006, Радомишль, 99198",+380 00 869-33-32,paliisolomiia@example.com
Дробʼязко,Надія,Мирославівна,Жінка,14.06.1962,Провізор,місто Житомир,"площа Івана Франка, буд. 9 кв. 673, Гайсин, 62764",+380 (45) 813-55-76,eiaremko@example.com
Оберемко,Варвара,Опанасівна,Жінка,12.09.1945,Піаніст,селище Вилкове,"площа Сабанєєв, буд. 879 кв. 8, Херсон, 37955",089 611 87 04,nazarenkopanas@example.com
Чміль,Антон,Гордійович,Чоловік,30.12.1949,Гірничий інженер,хутір Кобеляки,"площа Бузковий, буд. 0, Сорокине, 99757",020 565 70 04,adamsamoilenko@example.net
Данченко,Святослава,Іванівна,Жінка,27.10.1955,Нотаріус,селище Ватутіне,"шосе Утьосова, буд. 754 кв. 4, Тараща, 77936",+380 70 440-39-42,viravovk@example.org
Атрощенко,Орест,Ілляович,Чоловік,02.01.1997,Менеджер,село Городок,"парк Аеродромний 3-й, буд. 409, Новояворівськ, 82167",+380 19 435-70-10,varvaravernyhora@example.net
Корпанюк,Яків,Панасович,Чоловік,12.09.1963,Будник,село Єнакієве,"вулиця Уютна, буд. 2 кв. 8, Кодима, 80061",115-88-91,xzhalilo@example.com
Євтушок,Амалія,Микитївна,Жінка,17.05.1993,Конструктор,селище Турка,"площа Інглезі, буд. 83 кв. 6, Миколаївка , 40814",+380 95 936-07-81,anastasiia03@example.org
Сіробаба,Валентин,Антонович,Чоловік,22.05.2002,Краєзнавець,селище Сокиряни,"вулиця Лип Івана та Юрія, буд. 68, Коломия, 69225",869-53-57,zatovkaniuksemen@example.com
Гавриленко,Пармен,Романович,Чоловік,23.06.1951,Журналіст,місто Красилів,"провулок Незалежності, буд. 5, Карлівка, 44016",035 173-25-11,filipenkotetiana@example.org
Салій,Еріка,Климентівна,Жінка,08.06.1960,Паблік рилейшнз,місто Новояворівськ,"вулиця Уральська, буд. 8, Івано-Франківськ, 35622",+380 (37) 105-06-61,iakiv26@example.org
Шиян,Панас,Богодарович,Чоловік,13.10.1996,Реабілітолог,місто Пустомити,"шосе Кришталева, буд. 7, Красилів, 46035",981-51-34,vlasenkoherman@example.com
Артим,Еріка,Валентинівна,Жінка,10.06.1965,Графік,село Старий Крим,"вулиця Людмили Гінзбург, буд. 7 кв. 6, Херсон, 71078",+380 (29) 641-62-64,tereza09@example.com
Вишиваний,Сніжана,Станіславівна,Жінка,17.08.1960,Ветеринар,хутір Скалат,"проспект Князівський, буд. 4, Сокиряни, 55761",391 97 88,maryna34@example.net
Рубан,Олег,Прохірович,Чоловік,21.11.1969,Живописець,місто Березівка,"площа Десантний, буд. 25 кв. 1, Ізмаїл, 91792",+380 35 414-00-73,ada38@example.com
Дахно,Одарка,Климентівна,Жінка,20.06.1942,Кінорежисер,місто Кролевець,"проспект Локальна, буд. 89 кв. 50, Бахчисарай, 15938",+380 (78) 270-78-51,kyrylo86@example.net
Ющенко,Альбіна,Трохимівна,Жінка,27.09.1998,Візажист,селище Тальне,"проспект Шостої 1-й, буд. 769 кв. 9, Яготин, 51888",+380 58 344-66-19,stepan79@example.com
Левченко,Прохір,Олександрович,Чоловік,01.05.2002,Ґрунтознавець,місто Березне,"площа Залізничний 3-й, буд. 64 кв. 5, Новий Калинів, 98199",465 80 85,varvaraderiazhnyi@example.com
Атаманчук,Оксана,Арсенівна,Жінка,03.09.2002,М'ясник,хутір Одеса,"провулок Трудових резервів, буд. 544 кв. 09, Ланівці, 70266",093 948 14 26,abrahamovskyilarysa@example.org
Бевзенко,Йосип,Омелянович,Чоловік,11.03.1976,Прокурор,місто Новодружеськ,"узвіз Кредитний, буд. 657, Бердичів, 45262",+380 45 992-20-85,upryimak@example.org
Товстоліс,Станіслав,Назарович,Чоловік,09.07.1958,Етнограф,хутір Коломия,"парк Морський 2-й, буд. 973 кв. 2, Соледар, 54262",+380 (40) 615-41-97,alinadashkevych@example.com
Тарасенко,Мілена,Антонівна,Жінка,20.06.1980,Клавішник,місто Вугледар,"площа Пересипський міст, буд. 52, Нововолинськ, 41569",951-58-69,zmykhailiuk@example.com
Парасюк,Богодар,Костянтинович,Чоловік,18.08.1961,Кінокритик,село Красноград,"набережна Старосінна, буд. 0, Зугрес, 03347",834 09 19,dashenkoazar@example.org
Кабаненко,Вікторія,Спасівна,Жінка,22.05.1993,Детектив,місто Шепетівка,"площа Майстерний, буд. 43 кв. 456, Путивль, 13452",+380 54 120-26-82,qhrytsenko@example.org
Овсієнко,Адам,Зиновійович,Чоловік,14.09.2004,Підприємець,хутір Тульчин,"вулиця Палія Семена, буд. 68, Волноваха, 89197",514 41 27,iaremchuklarysa@example.org
Щербань,Марія,Орхипівна,Жінка,14.07.1976,Музикант,хутір Канів,"площа Бодаревського, буд. 2 кв. 8, Березань , 66909",025 505-00-55,hshchyrytsia@example.com
Данько,Назар,Назарович,Чоловік,23.06.1994,Стоматолог,місто Вільногірськ,"набережна Артилерійський 2-й, буд. 47, Сокаль, 31383",+380 83 287 82 51,viktor61@example.net
Даньків,Роксолана,Мирославівна,Жінка,10.01.1989,Ювелір,хутір Коломия,"провулок Польська, буд. 5, Полонне, 79993",799 24 54,iaryna44@example.net
Ващенко,Віталій,Соломонович,Чоловік,22.07.1966,Ріелтор,селище Бершадь,"провулок Прохоровський, буд. 14, Новгород-Сіверський, 16810",125-34-15,livanchenko@example.net
Ващенко,Мартин,Петрович,Чоловік,22.12.1984,Мікробіолог,село Нововолинськ,"проспект Дністровська, буд. 58 кв. 80, Добропілля, 33666",034 083 50 97,heorhiihutsuliak@example.org
Батіг,Тетяна,Теодорівна,Жінка,21.09.2003,Випробувач,селище Зеленодольськ,"площа Кавказький, буд. 214 кв. 40, Білицьке, 98001",071 886-50-29,volodymyra02@example.com
Христенко,Соломон,Євгенович,Чоловік,10.07.1959,Дантист,селище Сорокине,"площа Пейзажна, буд. 2, Чуднів, 48071",099 361-63-58,chernenkoeduard@example.org
Гуцуляк,Соломія,Єлисеївна,Жінка,27.02.1954,Локсмайстер,хутір Заставна,"парк Коцюбинського, буд. 60 кв. 26, Бердянськ, 16625",053 061 72 59,zhuravelielysei@example.net
Аверченко,Зиновій,Юхимович,Чоловік,31.07.1956,Епідеміолог,селище Тисмениця,"вулиця Лиманний, буд. 485 кв. 551, Пологи , 06946",531-36-18,uviter@example.net
Худяк,Феофан,Святославович,Чоловік,12.07.1987,Мовознавець,місто Алмазна,"проспект Садиковська, буд. 136, Макіївка, 97245",511-10-03,isaievychavrelii@example.net
Александренко,Богданна,Андріївна,Жінка,28.03.1953,Футболіст,селище Березань ,"сквер Пассіонарії, буд. 091 кв. 16, Родинське, 56352",979 72 70,aieromenko@example.org
Затула,Ростислав,Олесьович,Чоловік,18.02.1974,Медик,хутір Білицьке,"узвіз Кустанайська, буд. 06 кв. 615, Вилкове, 51698",031 917-81-29,iaremchukvasylyna@example.net
Тимченко,Миколай,Феофанович,Чоловік,03.05.1979,Скульптор,хутір Перемишляни,"набережна Осипова, буд. 49 кв. 89, Бердичів, 76981",031 475 79 72,habelkovarvara@example.net
Гайдамака,Арсен,Адамович,Чоловік,15.05.1948,Локсмайстер,село Гайсин,"сквер Водопровідний 2-й, буд. 0 кв. 1, Перечин, 60673",031 031 37 91,oleksandrovsiienko@example.org
Шелест,Єфрем,Владиславович,Чоловік,28.03.1944,Бухгалтер,хутір Білогірськ,"сквер Крилова, буд. 66, Верхньодніпровськ, 86704",+380 (41) 967-17-24,nadiia02@example.net
Гайдабура,Марта,Леопольдівна,Жінка,11.08.2007,Патологоанатом,селище Моспине,"узвіз Трамвайна, буд. 82 кв. 98, Гірник , 41459",+380 38 805-17-45,borys32@example.org
Джус,Єфрем,Симонович,Чоловік,10.03.1947,Астрофізик,хутір Кілія,"провулок Лінійна, буд. 3 кв. 88, Стебник, 09339",300-79-11,symon37@example.net
Тарасенко,Варвара,Мартинівна,Жінка,11.05.1969,Бухгалтер,селище Першотравенськ,"узвіз Савранська, буд. 325 кв. 913, Батурин, 17012",+380 (81) 075-88-76,stsymbaliuk@example.org
Лубенець,Амвросій,Августинович,Чоловік,09.12.1948,Нотаріус,село Соснівка ,"парк Студентський 1-й, буд. 283 кв. 8, Кременчук, 68240",+380 (72) 702-15-46,pturkalo@example.net
Бабич,Мирослав,Едуардович,Чоловік,16.09.1938,Парфюмер,селище Новоселиця,"парк Юрженка Олександра, буд. 44, Рахів, 86361",643-61-26,viurchuk@example.org
Забашта,Анастасія,Мартинівна,Жінка,02.02.1952,Хореограф,село Ровеньки,"шосе Індійська, буд. 24, Чугуїв, 74027",272 28 88,haidamakasviatoslava@example.org
Девдюк,Ярослава,Мирославівна,Жінка,04.12.1965,Дерун,місто Путивль,"узвіз Красна, буд. 734, Василівка , 68314",030 874 05 64,petroopanasenko@example.com
Шаповал,Федір,Охрімович,Чоловік,12.05.1964,Соціолог,хутір Теплодар,"набережна Василя Стуса, буд. 91 кв. 4, Нове Давидково, 25291",+380 45 074 49 78,ghutsuliak@example.com
Симоненко,Орися,Амвросіївна,Жінка,26.12.1989,Кінокритик,хутір Генічеськ,"площа Серединський, буд. 30, Саки , 18572",971 46 20,svitlana90@example.org
Баран,Розалія,Дмитроівна,Жінка,01.04.1991,Підприємець,місто Васильків,"набережна Рощева, буд. 848, Вишневе , 48166",038 953-71-54,larysatkachenko@example.com
Лесик,Пилип,Павлович,Чоловік,28.04.1964,Живописець,село Кагарлик,"провулок Лінія 37-ма, буд. 65, Арциз, 07082",+380 (57) 416-10-37,nazarakymenko@example.net
Безбородько,Дарина,Федірівна,Жінка,05.06.1974,Співак,місто Семенівка,"вулиця Балтський 1-й, буд. 15, Жидачів, 63318",+380 32 358-56-99,ihor68@example.com
Єрченко,Роксолана,Опанасівна,Жінка,21.01.2006,Єгер,місто Сімферополь,"шосе Чорноморський 11-й, буд. 0 кв. 429, Радехів, 71375",890 86 91,oksana09@example.org
Туркало,Юстина,Августинівна,Жінка,23.11.2000,Кінорежисер,село Ізмаїл,"проспект Мічуріна, буд. 43 кв. 6, Хуст, 30721",+380 77 842 22 28,rudkoherman@example.org
Вівчаренко,Орися,Богодарівна,Жінка,16.12.2004,Паблік рилейшнз,селище Острог,"парк Ланжеронівський узвіз, буд. 97, Харцизьк, 64824",072 113 95 47,mskopenko@example.net
Гриценко,Надія,Павлоівна,Жінка,12.04.2006,Фармацевт,місто Семенівка,"проспект Мічманський 2-й, буд. 015 кв. 79, Гребінка, 99191",878 07 20,oleksandr18@example.com
Кириленко,Людмила,Геннадіївна,Жінка,18.06.1953,Провізор,хутір Виноградів,"шосе Дальницька, буд. 1, Хотин, 93203",068 529-24-97,babkoeduard@example.net
Арсенич,Климент,Орестович,Чоловік,23.08.1990,Археолог,місто Олевськ,"узвіз Чорноморський 6-й, буд. 959, Бобринець, 17668",+380 (79) 891-29-93,diaremenko@example.com
Ващенко,Артем,Вʼячеславович,Чоловік,27.04.1987,Агроном,місто Нове Давидково,"шосе Олександра Невського 5-й, буд. 75, Бахмач, 24075",+380 70 437-22-55,cherednykoryna@example.net
Щербак,Дарина,Семенівна,Жінка,01.10.2004,Географ,хутір Соснівка ,"проспект Лесі Українки, буд. 133, Баштанка, 87515",+380 24 175-00-47,pbabychenko@example.com
Франко,Дан,Алевтинович,Чоловік,21.06.1996,Футболіст,хутір Любомль,"шосе Старосінна, буд. 51, Ананьїв, 46037",336-63-49,vadymvasylechko@example.net
Даниленко,Одарка,Гаврилоівна,Жінка,12.10.1995,Стоматолог,хутір Білозерське,"шосе Східчастий, буд. 7, Рожище, 06097",045 345-24-50,deisunvalentyna@example.net
Радченко,Дарина,Пантелеймонівна,Жінка,10.11.1985,Астроном,хутір Селидове,"узвіз Першотравневий 1-й, буд. 8, Пологи , 30955",+380 51 320-88-21,orynamykhaliuk@example.com
Козаченко,Варфоломій,Едуардович,Чоловік,07.01.1958,Гицель,село Феодосія,"провулок Лютеранський, буд. 4, Тростянець, 18726",+380 (62) 573-57-35,boleslavtokar@example.org
Барабаш,Марта,Авреліївна,Жінка,15.04.1975,Промисловець,місто Липовець,"проспект Омська, буд. 4, Харцизьк, 40062",+380 12 070 40 64,rudkovarvara@example.org
Бабенко,Василина,Теодорівна,Жінка,19.08.1970,Клоун,хутір Балта,"провулок Івана Микитенка, буд. 999, Чорноморськ, 44155",078 684 61 35,zarubaorest@example.net
Колодуб,Григорій,Стефанович,Чоловік,16.07.1964,Електротехнік,хутір Хирів,"узвіз Івасюка Володимира, буд. 26 кв. 0, Кам'янка-Дніпровська, 56077",036 141 97 22,mabrahamovskyi@example.com
Бабко,Володимира,Парменівна,Жінка,06.09.1996,Музикант,село Біляївка,"проспект Трояндова, буд. 714 кв. 1, Волноваха, 56128",658-48-80,yieromenko@example.com
Товстуха,Ярина,Олександрівна,Жінка,17.04.2000,Дантист,місто Джанкой,"парк Заводська 5-та, буд. 55 кв. 90, Стрий, 85166",040 07 56,ostapudovychenko@example.net
Деревʼянко,Станіслав,Ігнатович,Чоловік,17.07.1946,Футболіст,село Бровари,"проспект Стельмаха, буд. 565 кв. 9, Погребище, 96912",+380 06 388-34-57,wchalyi@example.com
Іщенко,Венедикт,Леонтійович,Чоловік,21.09.1942,Лікар,хутір Тисмениця,"площа Миколи Гумільова, буд. 362, Белз, 73186",+380 30 580-76-87,avhustyn01@example.net
Бандера,Руслан,Охрімович,Чоловік,26.03.1980,Фрілансер,селище Заводське,"вулиця Перша, буд. 994, Косів, 66550",513 82 45,serhii74@example.org
Дробаха,Віра,Назарівна,Жінка,24.04.1993,Історик,хутір Немирів,"проспект Слобідський узвіз, буд. 031 кв. 311, Новоазовськ, 88397",772-65-79,dannaruban@example.org
Павлик,Єва,Олександрівна,Жінка,29.01.1995,Машиніст,хутір Новоазовськ,"узвіз Овідіопольська, буд. 303 кв. 1, Ананьїв, 30624",581-38-36,cverkhovynets@example.com
Фесенко,Валерій,Богуславович,Чоловік,23.02.1973,Кінорежисер,хутір Сарни,"шосе Міцкевича, буд. 494, Хрестівка, 39037",093 499-11-93,anitavalenko@example.net
Ярема,Давид,Григорійович,Чоловік,14.06.1991,Сантехнік,хутір Іллінці,"шосе Одарія, буд. 220 кв. 145, Зіньків, 85257",+380 91 527-22-82,nestorbaranets@example.com
Чуприна,Йосип,Данилович,Чоловік,04.05.1970,Фотограф,місто Узин,"проспект Уютна, буд. 34 кв. 6, Красногорівка, 31782",538 90 30,dmiroshnychenko@example.net
Вовк,Захар,Олегович,Чоловік,26.04.1995,Кухар,село Ялта,"провулок Олександрівський, буд. 949, Вижниця, 61282",+380 (53) 228-46-79,antonlahoda@example.com
Литвиненко,Михайлина,Мирославівна,Жінка,05.05.1958,Письменник,селище Погребище,"провулок Пісочний, буд. 381, Гнівань, 80456",+380 (84) 218-38-57,andriichukiaryna@example.com
Опанасенко,Руслан,Сергійович,Чоловік,10.01.1958,Парфюмер,місто Ніжин,"набережна Сталепрокатна, буд. 6 кв. 849, Рівне, 70860",051 086-49-39,zynovii03@example.org
Щорс,Макар,Несторович,Чоловік,20.01.1948,Драматург,місто Знам'янка,"шосе Партизанська, буд. 117, Богуслав, 73525",825 77 68,haivoronskyiada@example.com
Артюх,Святослав,Єфремович,Чоловік,21.01.1976,Менеджер,хутір Хрестівка,"набережна Весела, буд. 0, Броди, 56473",885 44 49,khrystychihnat@example.com
Чередник,Георгій,Олесьович,Чоловік,08.02.1970,Візажист,місто Первомайський ,"сквер Урожайна, буд. 729, Підгайці, 47273",+380 12 094-00-38,petro37@example.com
Голик,Святослав,Миколайович,Чоловік,23.04.1966,Фермер,селище Бровари,"проспект Куликове поле, буд. 8, Алушта, 28573",+380 01 807-26-46,jdanyliuk@example.net
Іванченко,Зиновій,Трохимович,Чоловік,27.01.1955,Гірничий інженер,селище Жовті Води,"площа Іванова 1-й, буд. 004, Лозова , 65396",131 53 37,pderhach@example.net
Орлик,Юстина,Павлоівна,Жінка,09.11.1954,Кушнір,село Зоринськ,"парк Заводська 1-ша, буд. 0 кв. 686, Ромни, 69795",+380 48 997 89 39,hohol-ianovskyiherman@example.net
Забіла,Лілія,Олександрівна,Жінка,23.07.1994,Актор,хутір Щолкіне,"набережна Ракетна, буд. 2 кв. 842, Яготин, 47431",+380 (75) 123-62-93,ndurdynets@example.org
Корбут,Вікторія,Романівна,Жінка,15.11.1983,Фізик,село Кролевець,"сквер Дорожня, буд. 81, Ірміно, 88052",+380 16 437 64 32,priska77@example.net
Василенко,Марко,Богодарович,Чоловік,20.07.1951,Будник,місто Немирів,"провулок Хутірська, буд. 37, Зборів, 06813",070 247 05 42,dankoliliia@example.net
Вдовенко,Тереза,Валентинівна,Жінка,23.09.1997,Зоолог,місто Вишневе ,"проспект Сурикова, буд. 06, Золочів, 11057",+380 78 513 80 09,yshablii@example.com
Романець,Борислав,Захарович,Чоловік,09.12.1971,Бібліотекар,селище Борислав,"набережна Олександра Невського 4-й, буд. 925 кв. 36, Роздільна, 72102",502-95-32,vertyporokhmyroslav@example.org
Деревʼянко,Ольга,Олесьівна,Жінка,23.03.2002,Кінолог,селище Керч,"парк Степна, буд. 79 кв. 00, Кіцмань, 16071",415-80-28,bsheremeta@example.com
Базилевський,Данна,Лукʼянівна,Жінка,12.01.1970,Актор,місто Славута,"парк Залізнична, буд. 8, Білозерське, 16938",+380 98 879-56-12,svitlanahavryliuk@example.org
Демʼяненко,Гліб,Адамович,Чоловік,25.07.1984,Громадський діяч,село Петрово-Красносілля,"площа М’ясоєдовська, буд. 6, Нове Давидково, 94253",099 124 97 21,iaroshkyrylo@example.net
Ярош,Борислав,Левкович,Чоловік,05.02.2000,Агроном,місто Коломия,"проспект Вільгельма Габсбурга, буд. 61, Кам'янка (Черкаська область), 55128",099-18-53,lavramenko@example.org
Батюк,Світлана,Данівна,Жінка,18.10.2004,Піаніст,хутір Василівка ,"набережна Бехтерєва, буд. 55, Старий Самбір, 80531",+380 (91) 477-36-21,goliashrozaliia@example.net
Матвієнко,Оксенія,Ростиславівна,Жінка,26.11.1939,Фольклорист,село Чорноморськ,"шосе Лінія 36-та, буд. 96, Городище , 28537",134-96-14,shmorhunzynovii@example.org
Прокопович,Мілена,Дмитроівна,Жінка,07.01.1966,Вчитель,місто Українськ,"проспект Лінія 32-га, буд. 256, Бобровиця, 66239",+380 55 720-50-06,hennadiiiaremkiv@example.org
Стець,Остап,Глібович,Чоловік,07.10.2000,Математик,місто Географія Вільнянська,"набережна Рекордний, буд. 859, Чуднів, 21989",+380 32 636-13-82,varvaraiakovenko@example.net
Єфименко,Азар,Дмитрович,Чоловік,27.05.1988,Журналіст,селище Миронівка,"провулок Подільська, буд. 716 кв. 91, Золотоноша, 13968",829-93-09,aronetsieva@example.org
Перебийніс,Сергій,Максимович,Чоловік,24.11.1981,Мовознавець,хутір Берестечко,"набережна Вертелецького, буд. 82, Соснівка , 84569",031 803-41-71,ielysei18@example.net
Заруба,Орина,Степанівна,Жінка,14.09.1971,Слідчий,місто Запоріжжя,"провулок Рощева, буд. 7, Кілія, 55172",975-89-39,pbaidak@example.com
Ткаченко,Едита,Романівна,Жінка,07.10.1942,Круп'є,селище Ковель,"сквер Шишкіна 3-й, буд. 320, Українка , 53494",+380 88 921 59 78,nkorsun@example.net
Данько,Ольга,Тарасівна,Жінка,19.07.1995,Модельєр,селище Перечин,"шосе Ляпунова, буд. 988, Черкаси, 88914",576 27 73,mykytazhadan@example.com
Чекалюк,Дмитро,Германович,Чоловік,20.12.1956,Фрілансер,місто Сулимівка (Слов'янськ),"провулок Стельмаха, буд. 604, Тростянець, 85981",+380 56 616-99-99,tykhyiklavdiia@example.com
Яремко,Ірина,Данівна,Жінка,04.08.1968,Ювелір,хутір Борщів,"проспект Лазурний 3-й, буд. 845 кв. 96, Кременець, 29410",040 665 25 54,larysa40@example.org
Шаблій,Еріка,Олександрівна,Жінка,08.12.1998,Паралегал,село Баранівка,"набережна Студена, буд. 78 кв. 8, Калуш, 02446",095 933-06-21,iakiv01@example.com
Шаблій,Опанас,Станіславович,Чоловік,12.01.1999,Електрик,хутір Дніпрорудне,"сквер Теплична, буд. 97 кв. 4, Заліщики, 81818",+380 (62) 869-14-99,vdakhno@example.net
Назаренко,Теодор,Омелянович,Чоловік,13.07.1970,Соціолог,село Березівка,"вулиця Штурманська, буд. 313 кв. 3, Тетіїв, 58583",738 45 75,irenaonishchuk@example.org
Чередник,Розалія,Миронівна,Жінка,07.01.1940,Зоолог,хутір Герца,"проспект Зелена гірка, буд. 947, Ялта, 55822",426 34 42,vasylashkoparmen@example.org
Рева,Устим,Ілляович,Чоловік,25.09.1970,Композитор,село Івано-Франківськ,"узвіз Верстатобудівна, буд. 43, Армянськ, 67331",+380 (72) 784-17-26,dieremenko@example.com
Гоголь-Яновський,Едита,Андріївна,Жінка,21.02.1940,Професор,хутір Берегове,"вулиця Левкоєва, буд. 0 кв. 770, Очаків, 70225",+380 (42) 185-67-63,chumachenkorozaliia@example.com
Бабʼюк,Ірина,Микитївна,Жінка,19.04.1969,Професор,хутір Молочанськ,"парк Косовський, буд. 6 кв. 0, Світлодарськ, 15981",010 675-15-10,levkoivanenko@example.net
